Sygnatura czasowa,Sex:,Age:,Is the text relevant to the prompt?,"Does the text take into account the context resulting from the people involved in creating the text (interlocutors)? If so, are they and/or their characteristics referenced correctly?","Does text fit into a wider context? Context of place, story, or events? ",Does the text contain logical contradictions? ,How much do you like this text?,Is the text relevant to the prompt?,"Does the text take into account the context resulting from the people involved in creating the text (interlocutors)? If so, are they and/or their characteristics referenced correctly?","Does text fit into a wider context? Context of place, story, or events? ",Does the text contain logical contradictions? ,How much do you like this text?,Is the text relevant to the prompt?,"Does the text take into account the context resulting from the people involved in creating the text (interlocutors)? If so, are they and/or their characteristics referenced correctly?","Does text fit into a wider context? Context of place, story, or events? ",Does the text contain logical contradictions? ,How much do you like this text?,Is the text relevant to the prompt?,"Does the text take into account the context resulting from the people involved in creating the text (interlocutors)? If so, are they and/or their characteristics referenced correctly?","Does text fit into a wider context? Context of place, story, or events? ",Does the text contain logical contradictions? ,How much do you like this text?,Is the text relevant to the prompt?,"Does the text take into account the context resulting from the people involved in creating the text (interlocutors)? If so, are they and/or their characteristics referenced correctly?","Does text fit into a wider context? Context of place, story, or events? ",Does the text contain logical contradictions? ,How much do you like this text?,Is the text relevant to the prompt?,"Does the text take into account the context resulting from the people involved in creating the text (interlocutors)? If so, are they and/or their characteristics referenced correctly?","Does text fit into a wider context? Context of place, story, or events? ",Does the text contain logical contradictions? ,How much do you like this text?,Is the text relevant to the prompt?,"Does the text take into account the context resulting from the people involved in creating the text (interlocutors)? If so, are they and/or their characteristics referenced correctly?","Does text fit into a wider context? Context of place, story, or events? ",Does the text contain logical contradictions? ,How much do you like this text?,Is the text relevant to the prompt?,"Does the text take into account the context resulting from the people involved in creating the text (interlocutors)? If so, are they and/or their characteristics referenced correctly?","Does text fit into a wider context? Context of place, story, or events? ",Does the text contain logical contradictions? ,How much do you like this text?
2025-05-20 17:13:57,Mężczyzna,18-24,5,2,3,Yes,6,5,3,5,Yes,7,3,1,2,Yes,3,4,2,4,Yes,4,4,3,4,Yes,4,3,2,2,No,2,5,2,4,Yes,5,5,3,5,Yes,6
2025-05-20 17:26:05,Inne,18-24,4,3,5,Yes,6,5,3,5,Yes,7,5,3,5,Yes,7,5,3,5,Yes,7,3,2,2,No,2,4,2,4,Yes,4,5,3,5,Yes,7,5,3,5,Yes,7
2025-05-20 19:39:56,Mężczyzna,18-24,5,3,5,No,7,5,3,5,No,7,4,3,4,No,6,5,3,5,No,7,5,3,5,No,6,5,3,5,No,7,5,3,5,No,7,5,3,5,No,7
2025-05-20 19:41:18,Mężczyzna,0-17,5,2,2,Yes,6,5,2,3,Yes,7,3,2,2,Yes,5,4,2,5,Yes,6,4,3,3,Yes,5,5,3,3,Yes,4,3,2,3,Yes,5,4,2,3,Yes,5
2025-05-21 01:44:38,Mężczyzna,25-34,5,3,5,No,5,5,3,5,No,7,5,3,5,No,6,5,3,5,No,4,5,3,5,No,7,5,3,5,No,5,4,3,5,No,6,5,3,5,No,6
2025-05-22 10:48:33,Mężczyzna,25-34,5,2,4,No,5,5,3,4,No,5,4,3,5,No,5,5,3,5,No,7,5,2,3,No,3,4,2,4,No,4,5,1,3,No,3,5,1,4,No,2
2025-05-24 12:11:56,Kobieta,25-34,4,3,3,No,4,5,3,4,No,2,2,2,2,No,2,5,3,5,No,5,5,3,4,No,1,2,1,3,No,2,5,3,5,No,5,5,3,5,No,3
2025-05-24 12:14:37,Mężczyzna,25-34,5,3,2,Yes,3,5,3,5,No,7,5,3,5,No,6,5,1,5,No,3,2,2,3,No,1,3,2,3,No,5,5,3,4,No,7,5,2,1,No,7
2025-05-24 12:43:10,Kobieta,18-24,3,2,4,Yes,4,3,3,3,No,6,3,3,3,Yes,4,4,3,3,No,5,5,2,2,No,6,4,3,4,Yes,4,4,1,3,No,5,2,2,4,Yes,2
2025-05-24 12:44:58,Mężczyzna,18-24,4,3,5,Yes,6,3,2,3,Yes,3,5,3,4,Yes,7,4,3,4,Yes,6,3,2,3,Yes,4,4,2,4,Yes,5,4,2,4,Yes,6,5,3,5,Yes,7
2025-05-24 18:50:24,Female,18-24,5,3,5,No,5,5,3,4,No,3,4,2,4,Yes,3,5,3,3,No,5,4,2,4,No,6,5,3,4,No,6,4,2,3,No,4,5,3,5,No,7
2025-05-25 00:52:05,Male,18-24,5,3,4,No,6,5,3,4,No,4,5,2,4,No,5,5,3,4,No,5,4,3,4,No,5,5,3,5,No,6,5,3,4,No,5,5,3,4,No,6
2025-05-25 20:30:34,Male,18-24,5,3,5,No,6,4,3,4,No,4,5,3,5,No,5,5,3,5,No,7,5,3,5,No,6,5,3,5,No,7,4,3,5,No,6,4,3,4,No,5
2025-05-26 05:18:08,Male,18-24,3,2,3,Yes,5,3,2,3,Yes,5,1,1,1,No,1,4,1,3,Yes,6,4,3,4,Yes,5,4,2,4,Yes,4,4,3,4,Yes,5,4,3,4,Yes,6
2025-05-28 14:11:55,Male,25-34,5,3,4,No,5,5,3,5,No,7,3,3,3,No,3,5,3,5,No,7,5,3,5,No,2,5,3,5,No,3,5,3,5,No,1,5,3,5,No,4
